transaction_id,amount,timestamp,device_id,ip_address,country,brand,currency,merchant_id,merchant_category,user_id,is_fraud
T0000015,27.91,2026-07-18T14:54:11Z,DEV_c9d7cec09721,224.243.234.176,US,Visa,USD,M2290,Electronics,U21226,0
T0000016,41.46,2026-07-07T05:35:12Z,DEV_153f40e8cc8c,168.229.110.12,SG,Mastercard,SGD,M5342,Entertainment,U79163,0
T0000017,37.48,2026-07-16T03:10:32Z,DEV_9ff51ea38aaa,102.36.91.250,CA,Mastercard,CAD,M2982,Healthcare,U42493,0
T0000018,17.11,2026-07-29T13:34:56Z,DEV_4206759ad798,56.96.42.182,US,Mastercard,USD,M9423,Fashion,U41195,0
T0000019,37.56,2026-07-28T17:18:48Z,DEV_e9a84bf29fab,147.130.155.67,CA,Mastercard,CAD,M7669,Entertainment,U34957,0
T0000020,81.06,2026-07-20T22:58:07Z,DEV_e936d60f948f,119.142.237.179,DE,RuPay,EUR,M1993,Electronics,U62772,0
T0000021,39.57,2026-07-10T05:36:33Z,DEV_12c696da27c9,137.74.5.228,CA,Mastercard,CAD,M5563,Electronics,U70637,0
T0000022,79.36,2026-07-03T10:56:22Z,DEV_ff38993d2ee8,166.242.247.184,JP,Visa,JPY,M8956,Entertainment,U73092,0
T0000023,91.41,2026-07-19T09:32:08Z,DEV_cf8d8ac64536,0.141.65.39,US,Mastercard,USD,M7930,Fashion,U82845,0
T0000024,56.25,2026-07-15T09:41:22Z,DEV_6451d389d1aa,55.187.62.236,GB,Mastercard,GBP,M1936,Utilities,U16572,0
T0000025,48.05,2026-07-03T18:16:10Z,DEV_338d252ae82d,245.245.155.34,SG,Mastercard,SGD,M2122,Fuel,U87992,0
T0000026,50.04,2026-07-28T15:43:11Z,DEV_492ef2383106,63.7.248.20,FR,Visa,EUR,M2343,E-commerce,U64948,0
T0000027,62.78,2026-07-13T15:48:50Z,DEV_0ef80abacb35,52.74.84.184,SG,Amex,SGD,M5351,Restaurant,U61876,0
T0000028,26.16,2026-07-04T12:31:07Z,DEV_60db61458c3e,2.98.127.115,JP,Amex,JPY,M6718,Healthcare,U19016,0
T0000029,48.67,2026-07-22T06:31:19Z,DEV_5de5c28392a1,213.112.79.50,AU,Mastercard,AUD,M9666,Utilities,U11025,0
T0000030,49.42,2026-07-07T12:27:37Z,DEV_3d886ae2b1d5,67.180.9.239,AU,Visa,AUD,M4450,Restaurant,U54942,0
T0000031,131.62,2026-07-13T04:34:38Z,DEV_a25ac17e13a8,231.196.33.199,SG,RuPay,SGD,M1722,Travel,U10464,0
T0000032,85.02,2026-07-22T10:46:32Z,DEV_fa2564c1e19d,141.58.237.153,AU,Mastercard,AUD,M2832,Travel,U19862,0
T0000033,50.73,2026-07-18T22:10:04Z,DEV_8d8c12949f10,149.31.88.208,SG,Visa,SGD,M1685,Grocery,U50404,0
T0000034,108.65,2026-07-13T02:43:23Z,DEV_9ba4dd2fa398,170.188.37.250,DE,Mastercard,EUR,M3532,Travel,U41029,0
T0000035,30.97,2026-07-09T16:58:13Z,DEV_a59ab234cf47,188.143.125.41,FR,Visa,EUR,M5065,Electronics,U44970,0
T0000036,1611.15,2026-07-23T20:23:37Z,DEV_761c327fa50a,56.241.106.129,US,Visa,USD,M4728,Restaurant,U39219,1
T0000037,106.08,2026-07-27T00:44:11Z,DEV_4fb1328f7e93,84.198.60.216,DE,RuPay,EUR,M2776,Healthcare,U88193,0
T0000038,51.47,2026-07-19T16:47:06Z,DEV_f46fb1cf7e34,230.69.241.41,FR,Visa,EUR,M8144,Utilities,U10221,0
T0000039,73.86,2026-07-21T22:29:52Z,DEV_311e87f18df3,17.233.205.170,CA,Amex,CAD,M3041,Entertainment,U49363,0
T0000040,18.49,2026-07-15T08:27:47Z,DEV_92663f9f55ef,141.237.249.251,DE,RuPay,EUR,M7211,Travel,U98777,0
T0000041,86.31,2026-07-20T17:06:42Z,DEV_74b949d0957c,140.69.156.226,AE,Amex,AED,M4443,E-commerce,U66346,0
T0000042,73.19,2026-07-22T10:43:04Z,DEV_b490f11cf0ea,113.49.98.105,DE,RuPay,EUR,M3780,Utilities,U96356,0
T0000043,100.56,2026-07-05T12:48:14Z,DEV_c8addedb4343,209.132.51.36,AE,Amex,AED,M6085,Travel,U39444,0
T0000044,35.62,2026-07-12T21:15:44Z,DEV_08adbe249ab8,251.227.59.36,US,Visa,USD,M2193,E-commerce,U69692,0
T0000045,16.09,2026-07-24T23:59:28Z,DEV_2f963a302509,102.79.166.99,CA,RuPay,CAD,M1090,Fuel,U23970,0
T0000046,33.09,2026-07-03T10:30:31Z,DEV_f65a5bb29aeb,142.178.37.121,GB,RuPay,GBP,M9702,Fashion,U83259,0
T0000047,42.65,2026-07-27T14:19:01Z,DEV_7e9e38e0600b,114.39.100.230,AE,RuPay,AED,M5050,Utilities,U93579,0
T0000048,19.85,2026-07-14T07:55:45Z,DEV_f68e05c46f1f,112.155.125.151,JP,Mastercard,JPY,M5451,Utilities,U54020,0
T0000049,36.99,2026-07-08T07:43:49Z,DEV_f37718d87e71,59.51.243.216,IN,Mastercard,INR,M4505,Healthcare,U18418,0
T0000050,22.33,2026-07-21T04:24:43Z,DEV_2c2cdbea7118,15.240.165.92,SG,RuPay,SGD,M1320,Grocery,U85456,0
T0000051,54.47,2026-07-19T22:22:02Z,DEV_bf0371c9c9dc,218.123.144.149,DE,Amex,EUR,M4613,Entertainment,U73993,0
T0000052,140.92,2026-07-19T21:03:05Z,DEV_59b7becd433d,86.12.149.238,JP,Visa,JPY,M3704,E-commerce,U71261,0
T0000053,48.95,2026-07-20T03:04:00Z,DEV_6287e0241cec,151.134.72.248,SG,Visa,SGD,M8022,Travel,U27786,0
T0000054,24.83,2026-07-19T09:41:16Z,DEV_439587a3522d,83.205.98.104,US,Amex,USD,M7211,Entertainment,U46471,0
T0000055,64.11,2026-07-23T19:56:49Z,DEV_beff1f862ad8,4.246.77.134,AU,Visa,AUD,M6733,Grocery,U39389,0
T0000056,9.47,2026-07-10T16:16:19Z,DEV_42f76c2e9128,214.215.179.184,US,Mastercard,USD,M4571,Healthcare,U70952,0
T0000057,24.15,2026-07-08T22:48:03Z,DEV_76dfd46473fa,246.247.240.204,GB,Visa,GBP,M6111,Entertainment,U85470,0
T0000058,90.18,2026-07-04T16:32:32Z,DEV_2d188de7bba6,151.147.185.180,FR,Mastercard,EUR,M2669,E-commerce,U49529,0
T0000059,38.24,2026-07-17T20:31:18Z,DEV_51c3a4b0ed2b,136.97.254.24,IN,Visa,INR,M9289,Entertainment,U94874,0
T0000060,7.81,2026-07-22T01:05:28Z,DEV_fc6fcf34a39d,245.246.44.151,JP,Visa,JPY,M8532,Utilities,U30052,0
T0000061,133.88,2026-07-23T13:37:01Z,DEV_2a4db3eb5aa3,111.129.207.79,AU,RuPay,AUD,M6280,Electronics,U42177,0
T0000062,4374.0,2026-07-12T20:07:17Z,DEV_179a00367d34,192.31.54.191,US,RuPay,USD,M7209,Healthcare,U54092,1
T0000063,134.38,2026-07-14T13:49:32Z,DEV_08ac51f16ebc,225.92.166.102,AU,Amex,AUD,M1166,Electronics,U77715,0
T0000064,140.5,2026-07-24T17:14:04Z,DEV_c2de460de950,142.32.7.36,CA,RuPay,CAD,M9041,Electronics,U68743,0
T0000065,15.67,2026-07-20T15:09:41Z,DEV_e581d5bb5ffb,177.24.246.141,AU,Mastercard,AUD,M7046,Healthcare,U72031,0
T0000066,40.79,2026-07-18T01:53:20Z,DEV_3caa114a28b2,179.238.77.59,FR,Amex,EUR,M4777,Healthcare,U25814,0
T0000067,70.29,2026-07-10T07:09:41Z,DEV_c43e7ea85c3e,55.100.251.218,IN,Mastercard,INR,M9595,Electronics,U88222,0
T0000068,47.68,2026-07-12T01:02:13Z,DEV_c648cf3893bf,92.98.179.162,CA,Amex,CAD,M1893,Travel,U82529,0
T0000069,25.34,2026-07-01T14:17:24Z,DEV_5552069d988f,146.245.223.123,JP,Visa,JPY,M6582,Restaurant,U34164,0
T0000070,43.52,2026-07-04T04:07:50Z,DEV_f05dc7438714,102.148.195.67,JP,Visa,JPY,M1878,E-commerce,U29887,0
T0000071,51.24,2026-07-13T01:09:48Z,DEV_474c17348bc2,30.82.215.112,AU,Visa,AUD,M4697,Fashion,U78494,0
T0000072,68.41,2026-07-15T19:47:37Z,DEV_5e959594946d,145.145.179.99,AU,RuPay,AUD,M2625,Restaurant,U37235,0
T0000073,48.65,2026-07-12T15:27:47Z,DEV_bcc8c47e06f1,44.127.11.121,IN,Mastercard,INR,M7693,Fashion,U69048,0
T0000074,116.31,2026-07-12T05:41:21Z,DEV_1737354d0a06,73.193.61.231,AU,Visa,AUD,M8438,Restaurant,U19329,0
T0000075,53.17,2026-07-21T15:19:22Z,DEV_96f5c5386f5b,29.97.250.195,AE,Mastercard,AED,M5352,Travel,U28643,0
T0000076,42.03,2026-07-22T07:39:03Z,DEV_7a62abe0e64a,31.213.164.35,AU,Amex,AUD,M7594,Fashion,U45683,0
T0000077,51.73,2026-07-30T00:45:47Z,DEV_8558b186f7bc,10.52.80.252,JP,Visa,JPY,M4750,E-commerce,U98381,0
T0000078,39.8,2026-07-14T02:00:11Z,DEV_40708537ffef,147.132.236.43,AE,Visa,AED,M5557,Entertainment,U33788,0
T0000079,37.14,2026-07-23T19:36:06Z,DEV_a04a8f46421f,89.19.249.211,JP,Visa,JPY,M2713,Fashion,U31079,0
T0000080,40.84,2026-07-27T16:54:32Z,DEV_a10b9365c06d,9.100.251.191,AU,RuPay,AUD,M6296,Entertainment,U25194,0
T0000081,38.61,2026-07-27T08:10:02Z,DEV_ad4e9091664f,118.68.20.253,SG,Visa,SGD,M6927,Fashion,U91609,0
T0000082,3446.09,2026-07-13T23:08:35Z,DEV_747120e79427,140.153.168.148,US,Mastercard,USD,M8941,Travel,U25915,1
T0000083,128.03,2026-07-27T19:25:10Z,DEV_d3b6f593ddaf,104.114.19.249,AU,Visa,AUD,M2924,Fashion,U94896,0
T0000084,42.71,2026-07-21T04:04:52Z,DEV_eee687e7ac27,213.176.119.224,AU,Amex,AUD,M8483,Fuel,U82255,0
T0000085,15.88,2026-07-04T09:20:04Z,DEV_adbc737aa8a7,70.184.38.89,AE,Mastercard,AED,M5377,Restaurant,U10336,0
T0000086,48.47,2026-07-08T05:07:34Z,DEV_af586eeb94f9,114.80.238.24,AE,RuPay,AED,M9903,Healthcare,U59441,0
T0000087,8.77,2026-07-28T18:11:33Z,DEV_55a0aeeae12a,98.10.96.172,CA,Mastercard,CAD,M1715,Entertainment,U51704,0
T0000088,12.47,2026-07-25T01:05:58Z,DEV_b2ab3da7565a,246.254.188.14,FR,Mastercard,EUR,M6439,Fashion,U23154,0
T0000089,75.62,2026-07-01T17:52:52Z,DEV_d43171db033b,184.242.20.35,IN,RuPay,INR,M7512,Healthcare,U95175,0
T0000090,155.65,2026-07-16T08:56:13Z,DEV_d4d7d1e6bf81,160.117.233.39,SG,RuPay,SGD,M9864,Fuel,U14705,0
T0000091,61.01,2026-07-05T09:17:58Z,DEV_c3de2ceb1ce4,111.24.193.8,AU,Mastercard,AUD,M3725,Grocery,U49251,0
T0000092,36.56,2026-07-15T05:47:53Z,DEV_d194f83767fd,91.196.64.241,DE,Visa,EUR,M9702,Travel,U64008,0
T0000093,170.43,2026-07-04T20:00:17Z,DEV_69dce311c1f6,156.7.167.81,GB,Mastercard,GBP,M4945,Travel,U75230,0
T0000094,59.71,2026-07-13T07:54:18Z,DEV_831837d05bc2,117.166.105.129,CA,RuPay,CAD,M8237,Restaurant,U55293,0
T0000095,4286.16,2026-07-23T04:15:08Z,DEV_fd97b59f0ff4,216.101.214.154,US,Amex,USD,M5847,E-commerce,U48696,1
T0000096,126.96,2026-07-14T21:26:25Z,DEV_a7f795db4d97,198.150.245.230,US,RuPay,USD,M6772,E-commerce,U38705,0
T0000097,53.63,2026-07-05T17:12:15Z,DEV_c4caa081975a,231.69.119.4,AU,Mastercard,AUD,M8222,Travel,U14373,0
T0000098,38.66,2026-07-16T20:39:19Z,DEV_70ba500e9ec1,191.90.231.230,IN,Amex,INR,M9837,Restaurant,U57953,0
T0000099,235.02,2026-07-24T09:23:36Z,DEV_fd4b45f72df0,247.166.123.148,GB,Amex,GBP,M6549,Electronics,U25095,0
T0000100,3053.6,2026-07-20T07:01:04Z,DEV_b8d219ed5619,247.158.253.112,DE,Mastercard,EUR,M2479,Restaurant,U61717,1
T0000101,70.39,2026-07-19T00:47:53Z,DEV_29bf55bcbcd6,27.188.145.247,AE,RuPay,AED,M6374,Electronics,U89964,0
T0000102,26.33,2026-07-20T19:41:56Z,DEV_252ed9d76468,29.222.121.105,JP,Amex,JPY,M2592,Travel,U40775,0
T0000103,51.09,2026-07-19T00:15:35Z,DEV_d9dc205aee39,171.164.252.3,FR,RuPay,EUR,M3531,Fashion,U64379,0
T0000104,62.4,2026-07-14T13:55:15Z,DEV_fe885cb34def,8.96.24.51,AE,RuPay,AED,M8285,Electronics,U40947,0
T0000105,21.95,2026-07-03T22:32:45Z,DEV_5701ddc47965,101.236.122.205,DE,Amex,EUR,M1349,Fuel,U16629,0
T0000106,70.74,2026-07-04T07:56:11Z,DEV_d3aeb0581604,212.110.241.4,GB,Mastercard,GBP,M4538,Travel,U40539,0
T0000107,58.79,2026-07-14T11:02:54Z,DEV_98e752fbaa32,219.192.128.253,AE,Visa,AED,M2801,Travel,U96646,0
T0000108,33.35,2026-07-12T13:12:37Z,DEV_a52cbebbfd5f,150.191.16.171,US,Amex,USD,M1858,Utilities,U26614,0
T0000109,97.89,2026-07-24T02:52:00Z,DEV_712abf22ba3d,114.194.42.22,IN,Visa,INR,M2786,E-commerce,U69245,0
T0000110,42.6,2026-07-23T05:39:29Z,DEV_29a29bc830dd,164.177.249.145,US,Amex,USD,M2768,Fashion,U74260,0
T0000111,25.73,2026-07-16T15:17:14Z,DEV_f4524d9a9d5a,155.185.97.85,IN,Visa,INR,M9984,E-commerce,U52622,0
T0000112,52.49,2026-07-23T00:37:00Z,DEV_0dc5eac5a0bd,129.107.203.159,SG,Amex,SGD,M2874,Utilities,U95814,0
T0000113,25.44,2026-07-22T22:05:58Z,DEV_9f099956863f,227.89.238.225,CA,RuPay,CAD,M8430,Electronics,U62262,0
T0000114,72.8,2026-07-16T04:06:58Z,DEV_907bb0b5ee96,170.68.130.89,DE,RuPay,EUR,M2494,Electronics,U21188,0
T0000115,58.6,2026-07-28T00:13:08Z,DEV_d0d1deeaeca4,15.90.233.211,DE,Mastercard,EUR,M6400,Healthcare,U97819,0
T0000116,33.54,2026-07-14T23:06:45Z,DEV_a45ebf6d7b25,153.180.121.212,FR,Visa,EUR,M9313,Fashion,U37884,0
T0000117,48.78,2026-07-17T23:54:44Z,DEV_7badb7264fed,216.106.100.96,CA,Visa,CAD,M5564,Entertainment,U85248,0
T0000118,90.62,2026-07-30T13:31:49Z,DEV_474bc46d48a1,237.216.119.200,SG,Visa,SGD,M1474,Restaurant,U33647,0
T0000119,144.09,2026-07-01T07:06:49Z,DEV_7ebcd65bb883,46.112.152.56,DE,Amex,EUR,M7566,Grocery,U19120,0
T0000120,41.45,2026-07-19T06:17:53Z,DEV_52aee5915e0b,107.122.36.96,IN,Mastercard,INR,M6105,E-commerce,U52517,0
T0000121,13.06,2026-07-03T13:17:37Z,DEV_70f0ff0ee989,39.212.21.182,AE,Visa,AED,M2336,Entertainment,U45665,0
T0000122,20.08,2026-07-21T02:33:32Z,DEV_f40a80f363cb,69.238.67.45,JP,RuPay,JPY,M6655,E-commerce,U66349,0
T0000123,31.23,2026-07-03T04:54:54Z,DEV_430052f69fd2,56.115.229.127,JP,Amex,JPY,M1125,Fuel,U36794,0
T0000124,15.84,2026-07-15T01:13:49Z,DEV_1184b596bb94,83.255.211.162,GB,Amex,GBP,M8055,Utilities,U33028,0
T0000125,144.23,2026-07-04T11:58:26Z,DEV_cd2ed563ad75,101.166.116.194,CA,Amex,CAD,M7626,Electronics,U93904,0
T0000126,132.02,2026-07-16T18:22:56Z,DEV_730605311836,43.255.225.123,FR,Visa,EUR,M6928,Electronics,U21551,0
T0000127,47.2,2026-07-29T14:05:05Z,DEV_b96b6b9082db,102.131.225.7,CA,RuPay,CAD,M6083,Travel,U54500,0
T0000128,6.84,2026-07-26T18:11:57Z,DEV_22357e512950,130.140.55.231,IN,Visa,INR,M6752,Fuel,U94599,0
T0000129,26.34,2026-07-13T10:13:28Z,DEV_adf8012d64d0,50.128.103.161,IN,Mastercard,INR,M2234,Fashion,U33218,0
T0000130,73.3,2026-07-28T09:40:50Z,DEV_e5b70bf566bb,164.155.28.217,JP,RuPay,JPY,M6179,Fashion,U29786,0
T0000131,12.98,2026-07-14T08:01:04Z,DEV_c031fece9c20,151.103.73.0,JP,Amex,JPY,M6085,Grocery,U70521,0
T0000132,61.57,2026-07-04T17:23:53Z,DEV_77787310ea7e,165.8.220.149,DE,Amex,EUR,M8581,Grocery,U86064,0
T0000133,42.97,2026-07-16T14:36:20Z,DEV_e2876fb9444d,154.225.169.145,JP,Mastercard,JPY,M2013,Healthcare,U69050,0
T0000134,48.65,2026-07-02T21:36:13Z,DEV_7c028fa02c60,63.108.33.247,IN,Mastercard,INR,M6962,Entertainment,U58870,0
T0000135,137.75,2026-07-30T00:35:15Z,DEV_499c099a989e,13.103.211.142,FR,Amex,EUR,M2079,Entertainment,U53213,0
T0000136,20.96,2026-07-30T06:11:50Z,DEV_1dee9bbe2db0,223.143.65.151,AU,Amex,AUD,M7421,Electronics,U26901,0
T0000137,8.01,2026-07-16T22:42:10Z,DEV_63315feff7d4,208.44.224.193,AU,RuPay,AUD,M9624,Entertainment,U22249,0
T0000138,17.66,2026-07-01T21:14:24Z,DEV_3b4d94f319b2,92.211.51.105,SG,Amex,SGD,M4145,Travel,U39693,0
T0000139,17.14,2026-07-05T21:50:15Z,DEV_6a906c52c83e,129.247.243.251,IN,Amex,INR,M3147,Travel,U88282,0
T0000140,30.63,2026-07-22T05:55:35Z,DEV_11e937900edf,11.47.109.92,GB,Mastercard,GBP,M4891,Fashion,U68222,0
T0000141,99.26,2026-07-16T00:33:22Z,DEV_c1e6b0e5e3a0,247.49.87.73,CA,Mastercard,CAD,M4178,E-commerce,U58213,0
T0000142,31.72,2026-07-14T16:17:16Z,DEV_4598856d0610,199.51.35.4,JP,RuPay,JPY,M3655,Travel,U36174,0
T0000143,81.4,2026-07-24T07:55:43Z,DEV_6be328f58cdb,223.198.32.206,AU,Visa,AUD,M3042,Travel,U47363,0
T0000144,36.84,2026-07-25T22:05:57Z,DEV_0f45ea974d0b,37.184.164.47,AU,RuPay,AUD,M7126,Electronics,U40903,0
T0000145,119.88,2026-07-02T08:50:27Z,DEV_cd1141cae48d,81.149.84.227,DE,Mastercard,EUR,M3254,Fashion,U15020,0
T0000146,5.87,2026-07-22T18:39:30Z,DEV_833074668d72,157.135.118.160,GB,RuPay,GBP,M9991,Electronics,U89807,0
T0000147,15.34,2026-07-15T14:51:59Z,DEV_c389a4a92357,31.49.116.5,AU,Mastercard,AUD,M8489,Fashion,U18232,0
T0000148,29.56,2026-07-26T00:27:22Z,DEV_8c31fc27b648,147.54.79.126,AE,Visa,AED,M8032,Fuel,U10205,0
T0000149,72.56,2026-07-10T02:14:11Z,DEV_810e18ed2641,170.20.60.216,AE,RuPay,AED,M6908,Utilities,U18870,0
T0000150,39.94,2026-07-19T22:54:41Z,DEV_271c15bbaecf,223.146.166.33,SG,Visa,SGD,M7116,Healthcare,U43246,0
T0000151,56.86,2026-07-12T16:55:55Z,DEV_78c6bf3af64b,187.162.5.202,IN,Amex,INR,M6447,Utilities,U27486,0
T0000152,92.59,2026-07-23T13:19:29Z,DEV_c634ef5d0e51,251.22.247.87,DE,Mastercard,EUR,M3209,Fashion,U18270,0
T0000153,30.97,2026-07-10T18:52:13Z,DEV_2c23c731d502,11.54.227.86,US,Amex,USD,M7524,Grocery,U81176,0
T0000154,34.35,2026-07-18T07:54:18Z,DEV_fe9be976a34d,220.181.28.83,CA,Amex,CAD,M7029,Fashion,U67272,0
T0000155,67.81,2026-07-10T01:39:28Z,DEV_9df118539192,127.7.44.185,FR,Amex,EUR,M9507,Entertainment,U44959,0
T0000156,118.31,2026-07-30T05:54:32Z,DEV_a6bb40659a0b,254.190.192.219,IN,RuPay,INR,M6262,Restaurant,U23447,0
T0000157,32.24,2026-07-30T06:06:18Z,DEV_226eb8fa99d8,183.184.193.165,AU,RuPay,AUD,M6759,Healthcare,U68606,0
T0000158,8.94,2026-07-14T07:52:48Z,DEV_610996de3ff8,163.180.66.189,AE,RuPay,AED,M6952,Travel,U77251,0
T0000159,33.21,2026-07-30T11:52:25Z,DEV_20fb167998da,173.151.59.103,US,Mastercard,USD,M1530,Fashion,U89310,0
T0000160,34.25,2026-07-22T13:13:36Z,DEV_ff9e0629d8ad,195.89.129.10,DE,Amex,EUR,M5566,Grocery,U42717,0
T0000161,159.98,2026-07-26T03:13:01Z,DEV_a3e65300b6de,99.17.154.202,GB,RuPay,GBP,M4515,Fashion,U90199,0
T0000162,84.7,2026-07-07T14:08:06Z,DEV_a07299850f95,218.82.210.238,CA,Visa,CAD,M5757,Travel,U49315,0
T0000163,27.76,2026-07-06T21:23:51Z,DEV_3bd8a272fc64,252.49.165.151,DE,Mastercard,EUR,M9094,E-commerce,U13445,0
T0000164,52.89,2026-07-27T18:42:54Z,DEV_93d76857eb6b,33.56.175.224,DE,RuPay,EUR,M6067,Fashion,U62187,0
T0000165,50.28,2026-07-20T21:01:28Z,DEV_d432c3806753,210.198.94.228,SG,RuPay,SGD,M6194,Fashion,U94192,0
T0000166,122.3,2026-07-07T05:31:14Z,DEV_dd55fbd88df4,224.193.255.30,SG,Amex,SGD,M3981,Grocery,U26912,0
T0000167,46.35,2026-07-15T18:19:50Z,DEV_63375d94f1ef,42.38.247.112,IN,Mastercard,INR,M2292,Utilities,U42847,0
T0000168,49.03,2026-07-15T16:48:58Z,DEV_df0210bcd3ba,157.75.43.249,AU,Mastercard,AUD,M3762,Travel,U87569,0
T0000169,60.46,2026-07-28T08:39:45Z,DEV_e0a6ab2aa1de,10.139.181.180,GB,Amex,GBP,M7825,Fashion,U91016,0
T0000170,7.26,2026-07-15T15:57:54Z,DEV_d714287141b7,123.162.69.136,SG,Amex,SGD,M7653,Grocery,U48985,0
T0000171,41.51,2026-07-21T04:14:03Z,DEV_bee971c7c563,123.247.225.211,GB,RuPay,GBP,M3353,Healthcare,U50970,0
T0000172,29.8,2026-07-07T08:21:12Z,DEV_19e2553ab39b,194.186.240.224,DE,RuPay,EUR,M6228,Restaurant,U41685,0
T0000173,105.52,2026-07-07T20:08:03Z,DEV_a5e61649da72,24.200.166.22,JP,Mastercard,JPY,M3616,Healthcare,U52917,0
T0000174,4769.98,2026-07-25T04:31:17Z,DEV_2447dc5be5be,254.247.217.234,CA,Mastercard,CAD,M6055,Fuel,U75191,1
T0000175,21.21,2026-07-03T08:41:27Z,DEV_5ce852c34258,12.240.55.76,CA,Amex,CAD,M8710,Electronics,U47453,0
T0000176,32.83,2026-07-13T20:07:59Z,DEV_00d57271ac4a,186.61.247.255,FR,Mastercard,EUR,M1741,Utilities,U62505,0
T0000177,13.73,2026-07-27T20:33:05Z,DEV_cb2ee39e6739,73.225.205.19,CA,Amex,CAD,M5582,Electronics,U91689,0
T0000178,82.46,2026-07-20T02:55:51Z,DEV_a21cd71d7faf,95.137.237.18,GB,Visa,GBP,M6990,Utilities,U28909,0
T0000179,21.18,2026-07-03T04:46:56Z,DEV_af92dc8e1ff2,9.246.68.5,FR,Visa,EUR,M8761,E-commerce,U78069,0
T0000180,53.8,2026-07-16T22:06:28Z,DEV_101b36a02ee1,238.110.46.114,SG,Mastercard,SGD,M5902,Utilities,U87820,0
T0000181,43.16,2026-07-28T07:51:15Z,DEV_6b612747dc5b,76.191.19.29,SG,RuPay,SGD,M6427,Entertainment,U98317,0
T0000182,15.5,2026-07-02T07:02:46Z,DEV_97226d70222b,152.207.17.136,AE,Amex,AED,M4728,Travel,U16731,0
T0000183,2117.51,2026-07-08T04:10:16Z,DEV_95c1edb88149,210.88.100.242,DE,RuPay,EUR,M2800,Fuel,U35006,1
T0000184,23.89,2026-07-04T00:33:46Z,DEV_05f507fd96b0,180.173.175.137,FR,RuPay,EUR,M6325,Entertainment,U96799,0
T0000185,49.41,2026-07-23T07:32:48Z,DEV_286ae58700fb,233.128.248.8,DE,Mastercard,EUR,M5331,Fuel,U89963,0
T0000186,112.62,2026-07-11T21:59:20Z,DEV_d7050631b44f,241.5.50.82,AU,Amex,AUD,M5735,Fashion,U37168,0
T0000187,31.37,2026-07-17T22:23:06Z,DEV_369a14668ce5,143.124.29.89,DE,RuPay,EUR,M9899,Entertainment,U59767,0
T0000188,16.13,2026-07-15T02:24:06Z,DEV_57a1a126f659,10.196.222.133,DE,Mastercard,EUR,M6674,Fashion,U67983,0
T0000189,12.24,2026-07-27T03:29:19Z,DEV_2c19bbf38727,69.104.244.38,CA,Mastercard,CAD,M4920,Utilities,U41779,0
T0000190,29.34,2026-07-03T13:09:23Z,DEV_fa496526a632,25.166.146.201,CA,Mastercard,CAD,M2647,Grocery,U99285,0
T0000191,43.01,2026-07-20T18:04:53Z,DEV_0185126f4e54,167.35.251.114,SG,Mastercard,SGD,M5706,Grocery,U52096,0
T0000192,88.9,2026-07-26T23:29:51Z,DEV_7db469ae9f2b,189.26.143.75,IN,Mastercard,INR,M3880,Entertainment,U14763,0
T0000193,18.09,2026-07-15T01:15:12Z,DEV_8d136b73027a,224.114.61.150,JP,Mastercard,JPY,M2758,Utilities,U53914,0
